karakter,soru,cevap
Frodo Baggins,Frodo'nun temel görevi nedir?,Tek Yüzük'ü Mordor'a götürmek
Frodo Baggins,Frodo'nun en yakın arkadaşı kimdir?,Sam
Frodo Baggins,Frodo hangi silahları kullanır?,Sting kılıcı ve Mithril zırhı
Frodo Baggins,Frodo kaç yaşındadır?,50
Frodo Baggins,Frodo nerede yaşar?,Shire'da

Gandalf,Gandalf hangi isimlerle bilinir?,Gri Gandalf ve Beyaz Gandalf
Gandalf,Gandalf'ın yaşı nedir?,2000+
Gandalf,Gandalf'ın kullandığı silahlar nelerdir?,Glamdring kılıcı Narya yüzüğü ve Büyücü asası
Gandalf,Gandalf'ın ünlü sözü nedir?,Bir büyücü asla geç kalmaz tam zamanında gelir
Gandalf,Gandalf'ın Frodo ile ilişkisi nedir?,Frodo'nun akıl hocası

Aragorn,Aragorn'un gerçek adı nedir?,Elessar
Aragorn,Aragorn kaç yaşındadır?,87
Aragorn,Aragorn'un kılıcının adı nedir?,Andúril
Aragorn,Aragorn'un sevgilisi kimdir?,Arwen
Aragorn,Aragorn hangi unvanla tahta çıkar?,Gondor Kralı

Legolas,Legolas hangi krallığın prensidir?,Kuyutorman Krallığı
Legolas,Legolas'ın babası kimdir?,Thranduil
Legolas,Legolas'ın en yakın dostu kimdir?,Gimli
Legolas,Legolas hangi silahları kullanır?,Elf yayı ve okları çift hançer
Legolas,Legolas kaç yaşındadır?,2931

Gimli,Gimli'nin babası kimdir?,Glóin
Gimli,Gimli hangi silah kullanır?,Cüce baltası
Gimli,Gimli kaç yaşındadır?,139
Gimli,Gimli kime hayrandır?,Galadriel
Gimli,Gimli nereden gelir?,Erebor

Samwise Gamgee,Sam'in mesleği nedir?,Bahçıvan
Sam,Sam'in Frodo'ya olan bağlılığını gösteren sözü nedir?,Sizinle sonuna kadar geleceğim Bay Frodo
Sam,Sam kaç yaşındadır?,38
Sam,Sam hangi silahları kullanır?,Kısa kılıç ve Elf ipi
Sam,Sam kiminle evlenir?,Rosie

Galadriel,Galadriel'in yüzüğünün adı nedir?,Nenya
Galadriel,Galadriel nerede yaşar?,Lothlórien
Galadriel,Galadriel kaç yaşındadır?,7000+
Galadriel,Galadriel'in eşi kimdir?,Celeborn
Galadriel,Galadriel'in torunu kimdir?,Arwen

Saruman,Saruman başlangıçta ne idi?,İstar'ların lideri
Saruman,Saruman nerede yaşar?,Orthanc
Saruman,Saruman kimin tarafına geçer?,Sauron
Saruman,Saruman'ın Gandalf ile ilişkisi nedir?,Gandalf'ın eski müttefiki ve sonradan düşmanı
Saruman,Saruman'ın kullandığı silah nedir?,Büyücü asası

Arwen,Arwen'in babası kimdir?,Elrond
Arwen,Arwen kimin için ölümlü yaşamı seçer?,Aragorn
Arwen,Arwen'in kılıcının adı nedir?,Hadhafang
Arwen,Arwen kaç yaşındadır?,2901
Arwen,Arwen hangi unvanı alır?,Gondor Kraliçesi

Boromir,Boromir'in babası kimdir?,Denethor
Boromir,Boromir kaç yaşında ölür?,41
Boromir,Boromir hangi şehirdendir?,Gondor
Boromir,Boromir'in kardeşi kimdir?,Faramir
Boromir,Boromir nasıl ölür?,Yüzük'ün gücüne yenik düşer ve orklar tarafından öldürülür

Bilbo Baggins,Bilbo Yüzük'ü nerede buldu?,Gollum'un mağarasında
Bilbo Baggins,Bilbo kaç yaşına ulaştı?,131
Bilbo Baggins,Bilbo'nun yeğeni kimdir?,Frodo
Bilbo Baggins,Bilbo'nun macerası kiminle başladı?,Thorin ve cücelerle
Bilbo Baggins,Bilbo'nun kılıcının adı nedir?,Sting

Elrond,Elrond hangi şehrin efendisidir?,Rivendell
Elrond,Elrond'un kızı kimdir?,Arwen
Elrond,Elrond'un yüzüğünün adı nedir?,Vilya
Elrond,Elrond kaç yaşındadır?,6500+
Elrond,Elrond hangi ırktandır?,Yarı-Elf

Faramir,Faramir'in ağabeyi kimdir?,Boromir
Faramir,Faramir kiminle evlenir?,Éowyn
Faramir,Faramir hangi şehrin vekilharcı olur?,Gondor
Faramir,Faramir'in babası kimdir?,Denethor
Faramir,Faramir kaç yaşındadır?,36

Éowyn,Éowyn hangi önemli düşmanı öldürür?,Nazgûl Kralı
Éowyn,Éowyn'in unvanı nedir?,Rohan'ın Beyaz Leydisi
Éowyn,Éowyn'in amcası kimdir?,Théoden
Éowyn,Éowyn kaç yaşındadır?,24
Éowyn,Éowyn kiminle evlenir?,Faramir

Théoden,Théoden hangi krallığın kralıdır?,Rohan
Théoden,Théoden'in kılıcının adı nedir?,Herugrim
Théoden,Théoden kim tarafından büyülenir?,Saruman
Théoden,Théoden kaç yaşında ölür?,71
Théoden,Théoden'in son sözleri nedir?,Ölüm! Ölüm! Ölüm!

Gollum/Sméagol,Gollum'un gerçek adı nedir?,Sméagol
Gollum/Sméagol,Gollum Yüzük'ü kaç yıl elinde tuttu?,500+
Gollum/Sméagol,Gollum'un en ünlü sözü nedir?,Kıymetlimm
Gollum/Sméagol,Gollum hangi ırktan gelir?,Hobbit
Gollum/Sméagol,Gollum nerede yaşar?,Misty Dağları

Treebeard,Treebeard hangi tür yaratıktır?,Ent
Treebeard,Treebeard nerede yaşar?,Fangorn Ormanı
Treebeard,Treebeard kime karşı savaşır?,Saruman
Treebeard,Treebeard'ın görevi nedir?,Ormanın çobanı
Treebeard,Treebeard'ın karakteristik özelliği nedir?,Acele etmemesi

Éomer,Éomer hangi unvanı alır?,Rohan Kralı
Éomer,Éomer'in kız kardeşi kimdir?,Éowyn
Éomer,Éomer kaç yaşındadır?,28
Éomer,Éomer hangi silahları kullanır?,Rohan mızrağı ve kılıcı
Éomer,Éomer kimin yeğenidir?,Théoden'in

Celeborn,Celeborn'un eşi kimdir?,Galadriel
Celeborn,Celeborn nerede yaşar?,Lothlórien
Celeborn,Celeborn hangi ırktandır?,Elf
Celeborn,Celeborn'un unvanı nedir?,Lothlórien'in Elf Lordu
Celeborn,Celeborn'un silahı nedir?,Elf kılıcı

Denethor,Denethor'un görevi nedir?,Gondor'un Vekilharcı
Denethor,Denethor'un oğulları kimlerdir?,Boromir ve Faramir
Denethor,Denethor nasıl ölür?,Kendini yakar
Denethor,Denethor kaç yaşındadır?,89
Denethor,Denethor nerede yaşar?,Minas Tirith

Peregrin Took,Pippin'in tam adı nedir?,Peregrin Took
Peregrin Took,Pippin hangi şehrin muhafızı olur?,Gondor
Peregrin Took,Pippin'in en yakın arkadaşı kimdir?,Merry
Peregrin Took,Pippin kaç yaşındadır?,29
Peregrin Took,Pippin'in ünlü sorusu nedir?,Peki ya ikinci kahvaltı?

Meriadoc Brandybuck,Merry hangi krallığın süvarisi olur?,Rohan
Meriadoc Brandybuck,Merry'nin tam adı nedir?,Meriadoc Brandybuck
Meriadoc Brandybuck,Merry kaç yaşındadır?,37
Meriadoc Brandybuck,Merry'nin en yakın arkadaşı kimdir?,Pippin
Meriadoc Brandybuck,Merry hangi önemli savaşa katılır?,Pelennor Savaşı

Nazgûl Kralı,Nazgûl Kralı'nın diğer adı nedir?,Angmar'ın Cadı Kralı
Nazgûl Kralı,Nazgûl Kralı kim tarafından öldürülür?,Éowyn
Nazgûl Kralı,Nazgûl Kralı'nın ünlü sözü nedir?,Hiçbir erkek beni öldüremez
Nazgûl Kralı,Nazgûl Kralı'nın silahları nelerdir?,Morgul bıçağı ve zehirli kılıç
Nazgûl Kralı,Nazgûl Kralı kimin hizmetkarıdır?,Sauron'un

Thorin Oakenshield,Thorin'in tam unvanı nedir?,Erebor'un Kralı
Thorin Oakenshield,Thorin'in kılıcının adı nedir?,Orcrist
Thorin Oakenshield,Thorin kaç yaşında ölür?,195
Thorin Oakenshield,Thorin'in hazinesi kim tarafından çalınır?,Smaug
Thorin Oakenshield,Thorin'in yeğenleri kimlerdir?,Fíli ve Kíli

Smaug,Smaug hangi dağı ele geçirir?,Erebor (Yalnız Dağ)
Smaug,Smaug kim tarafından öldürülür?,Bard
Smaug,Smaug'un zayıf noktası nedir?,Sol göğsündeki eksik pul
Smaug,Smaug ne tür bir yaratıktır?,Ejderha
Smaug,Smaug neyin üzerinde uyur?,Cüce hazinesi

Thranduil,Thranduil hangi krallığın kralıdır?,Kuyutorman
Thranduil,Thranduil'in oğlu kimdir?,Legolas
Thranduil,Thranduil hangi ırktan gelir?,Elf
Thranduil,Thranduil'in karakteristik özelliği nedir?,Soğuk ve mesafeli olması
Thranduil,Thranduil nerede yaşar?,Kuyutorman'daki yeraltı sarayında

Bard,Bard neyi öldürür?,Smaug'u
Bard,Bard hangi şehrin kralı olur?,Dale
Bard,Bard'ın kullandığı özel ok nedir?,Kara Ok
Bard,Bard'ın mesleği nedir?,Okçu
Bard,Bard hangi şehirde yaşar?,Esgaroth (Göl-şehri)

Azog,Azog'un lakabı nedir?,Soluk Ork
Azog,Azog kimin baş düşmanıdır?,Thorin'in
Azog,Azog nerede yaşar?,Gundabad
Azog,Azog'un karakteristik özelliği nedir?,Metal pençesi
Azog,Azog hangi ırktan gelir?,Ork

Balin,Balin nerede ölür?,Moria'da
Balin,Balin kimin danışmanıdır?,Thorin'in
Balin,Balin'in Moria'daki unvanı nedir?,Moria'nın Lordu
Balin,Balin hangi ırktan gelir?,Cüce
Balin,Balin'in fiziksel özelliği nedir?,Beyaz sakallı

Dwalin,Dwalin kimin en sadık dostudur?,Thorin'in
Dwalin,Dwalin'in silahı nedir?,Çift balta
Dwalin,Dwalin'in fiziksel özelliği nedir?,İri yapılı ve dövmeli
Dwalin,Dwalin nereden gelir?,Erebor
Dwalin,Dwalin'in görevi nedir?,Thorin'in sağ kolu

Kíli,Kíli kimin yeğenidir?,Thorin'in
Kíli,Kíli'nin kardeşi kimdir?,Fíli
Kíli,Kíli'nin özel yeteneği nedir?,Okçuluk
Kíli,Kíli hangi ırktandır?,Cüce
Kíli,Kíli kime aşık olur?,Tauriel'e

Fíli,Fíli kimin yeğenidir?,Thorin'in
Fíli,Fíli'nin kardeşi kimdir?,Kíli
Fíli,Fíli'nin silahları nedir?,Çift kılıç
Fíli,Fíli hangi ırktandır?,Cüce
Fíli,Fíli tahtın kaçıncı varisidir?,Birinci varis

Dáin Demir Ayak,Dáin hangi bölgenin kralıdır?,Demir Tepeler
Dáin,Dáin'in Thorin ile akrabalığı nedir?,Kuzeni
Dáin,Dáin'in silahı nedir?,Savaş çekici
Dáin,Dáin'in fiziksel özelliği nedir?,Kızıl sakallı
Dáin,Dáin hangi savaşta yardıma gelir?,Beş Ordular Savaşı

Bolg,Bolg kimin oğludur?,Azog'un
Bolg,Bolg hangi savaşın komutanıdır?,Beş Ordular Savaşı
Bolg,Bolg'un fiziksel özelliği nedir?,Zırhlı ve güçlü
Bolg,Bolg nerede yaşar?,Gundabad
Bolg,Bolg hangi ırktan gelir?,Ork

Beorn,Beorn neye dönüşebilir?,Dev ayıya
Beorn,Beorn nerede yaşar?,Anduin Vadileri
Beorn,Beorn kimlerden nefret eder?,Orklardan
Beorn,Beorn'un mesleği nedir?,Arıcı ve çiftçi
Beorn,Beorn hangi savaşta yer alır?,Beş Ordular Savaşı

Radagast,Radagast'ın tam adı nedir?,Kahverengi Radagast
Radagast,Radagast neyin koruyucusudur?,Ormanın ve hayvanların
Radagast,Radagast nerede yaşar?,Rhosgobel
Radagast,Radagast'ın özel yeteneği nedir?,Hayvanlarla konuşabilmek
Radagast,Radagast hangi ırktandır?,İstar (Büyücü)

Tauriel,Tauriel'in görevi nedir?,Kuyutorman muhafızı
Tauriel,Tauriel kime aşık olur?,Kíli'ye
Tauriel,Tauriel'in silahları nedir?,Çift hançer
Tauriel,Tauriel'in fiziksel özelliği nedir?,Kızıl saçlı
Tauriel,Tauriel hangi ırktandır?,Elf

Haldir,Haldir nerede yaşar?,Lothlórien
Haldir,Haldir'in görevi nedir?,Lothlórien'in muhafızı
Haldir,Haldir hangi savaşta ölür?,Helm Dibi Savaşı
Haldir,Haldir'in silahları nedir?,Elf yayı ve kılıcı
Haldir,Haldir kimin muhafızıdır?,Galadriel ve Celeborn'un

Grima Wormtongue,Grima kimin ajanıdır?,Saruman'ın
Grima,Grima hangi krallıkta yaşar?,Rohan
Grima,Grima kimi zehirler?,Théoden'i
Grima,Grima'nın fiziksel özelliği nedir?,Soluk tenli yağlı siyah saçlı
Grima,Grima nasıl ölür?,Saruman'ı öldürdükten sonra okla vurulur

Círdan,Círdan neyin ustasıdır?,Gemi yapımının
Círdan,Círdan hangi yüzüğü taşır?,Narya (Gandalf'a vermeden önce)
Círdan,Círdan nerede yaşar?,Gri Limanlar
Círdan,Círdan'ın fiziksel özelliği nedir?,Uzun gümüş sakallı
Círdan,Círdan hangi ırktandır?,Teleri Elfi

Gil-galad,Gil-galad hangi unvanı taşır?,Son Yüce Kral
Gil-galad,Gil-galad'ın silahı nedir?,Aeglos mızrağı
Gil-galad,Gil-galad nasıl ölür?,Sauron'la savaşta
Gil-galad,Gil-galad kaç yaşındadır?,3000+
Gil-galad,Gil-galad kimin efendisidir?,Elrond'un

Celebrimbor,Celebrimbor neyi yapar?,Güç Yüzüklerini
Celebrimbor,Celebrimbor nerede yaşar?,Eregion
Celebrimbor,Celebrimbor kim tarafından aldatılır?,Sauron
Celebrimbor,Celebrimbor'un mesleği nedir?,Elf ustası
Celebrimbor,Celebrimbor hangi ırktandır?,Elf

Glorfindel,Glorfindel kaç kez yaşamıştır?,İki kez
Glorfindel,Glorfindel neyi öldürür?,Balrog
Glorfindel,Glorfindel'in fiziksel özelliği nedir?,Altın saçlı
Glorfindel,Glorfindel kimin danışmanıdır?,Elrond'un
Glorfindel,Glorfindel nerede yaşar?,Rivendell

Elladan ve Elrohir,İkizler kimin çocuklarıdır?,Elrond'un
Elladan ve Elrohir,İkizler neyin peşindedir?,Orkların
Elladan ve Elrohir,İkizler hangi ırktandır?,Yarı-elf
Elladan ve Elrohir,İkizler kimin kardeşleridir?,Arwen'in
Elladan ve Elrohir,İkizler nerede yaşar?,Rivendell

Erkenbrand,Erkenbrand hangi bölgenin lordudur?,Batı Sınırı
Erkenbrand,Erkenbrand hangi savaşta yer alır?,Helm Dibi Savaşı
Erkenbrand,Erkenbrand'ın fiziksel özelliği nedir?,Güçlü yapılı kızıl saçlı
Erkenbrand,Erkenbrand hangi krallıktandır?,Rohan
Erkenbrand,Erkenbrand kimin komutanıdır?,Théoden'in

Fëanor,Fëanor'un en büyük eseri nedir?,Silmariller
Fëanor,Fëanor kaç oğlu vardır?,Yedi
Fëanor,Fëanor'un eşi kimdir?,Nerdanel
Fëanor,Fëanor hangi ırkın en güçlü ustasıdır?,Noldor Elflerinin
Fëanor,Fëanor'un ünlü yemini nedir?,Silmarilleri geri almak için ettiği yemin

Fingolfin,Fingolfin kim ile teke tek dövüşür?,Morgoth
Fingolfin,Fingolfin'in kılıcının adı nedir?,Ringil
Fingolfin,Fingolfin hangi unvanı taşır?,Noldor'ların Yüce Kralı
Fingolfin,Fingolfin kimin üvey kardeşidir?,Fëanor'un
Fingolfin,Fingolfin nerede yaşar?,Hithlum

Thingol,Thingol'un eşi kimdir?,Melian
Thingol,Thingol'un kızı kimdir?,Lúthien
Thingol,Thingol hangi krallığın kralıdır?,Doriath
Thingol,Thingol'un kılıcının adı nedir?,Aranrúth
Thingol,Thingol nasıl ölür?,Cüceler tarafından öldürülür

Melian,Melian hangi ırktandır?,Maia
Melian,Melian'ın en önemli büyüsü nedir?,Melian'ın Kemeri (Doriath'ı koruyan büyü)
Melian,Melian kimin annesidir?,Lúthien'in
Melian,Melian nerede yaşar?,Doriath
Melian,Melian'ın özel gücü nedir?,Kehanet ve büyü

Lúthien,Lúthien kimin kızıdır?,Thingol ve Melian'ın
Lúthien,Lúthien kime aşık olur?,Beren'e
Lúthien,Lúthien'in en büyük başarısı nedir?,Morgoth'u büyüyle uyutup Silmaril'i çalması
Lúthien,Lúthien nasıl bir seçim yapar?,Ölümlü olmayı seçer
Lúthien,Lúthien'in özel gücü nedir?,Büyülü şarkı ve dans

Beren,Beren hangi görevi başarır?,Silmaril'i Morgoth'un tacından çalar
Beren,Beren'in lakabı nedir?,Tek El
Beren,Beren kimin sevgilisidir?,Lúthien'in
Beren,Beren hangi ırktan gelir?,İnsan
Beren,Beren'in hançerinin adı nedir?,Angrist

Túrin Turambar,Túrin'in kılıcının adı nedir?,Gurthang
Túrin,Túrin hangi ejderhayı öldürür?,Glaurung
Túrin,Túrin'in babası kimdir?,Húrin
Túrin,Túrin'in trajik sonu nedir?,Kız kardeşiyle evlenip intihar eder
Túrin,Túrin'in lanetleyen kimdir?,Morgoth

Húrin,Húrin kim tarafından esir alınır?,Morgoth
Húrin,Húrin'in eşi kimdir?,Morwen
Húrin,Húrin kaç yıl esir kalır?,28
Húrin,Húrin'in ünlü savaş çığlığı nedir?,Aurë entuluva! (Gün yine doğacak!)
Húrin,Húrin'in çocukları kimlerdir?,Túrin ve Nienor

Balrog,Balrog kimin hizmetkarıdır?,Morgoth'un
Balrog,Balrog'un en belirgin özellikleri nelerdir?,Ateş ve gölge
Balrog,Balrog'un silahları nelerdir?,Ateş kırbacı ve kılıç
Balrog,Balrog nerede yaşar?,Moria'nın derinliklerinde
Balrog,Balrog kim tarafından öldürülür?,Gandalf tarafından

Shelob,Shelob kimin soyundan gelir?,Ungoliant'ın
Shelob,Shelob nerede yaşar?,Cirith Ungol
Shelob,Shelob'un en önemli özelliği nedir?,Dev zehirli örümcek
Shelob,Shelob kim tarafından yaralanır?,Sam tarafından
Shelob,Shelob kimin 'evcil hayvanı'dır?,Sauron'un

Ungoliant,Ungoliant nereden gelir?,Karanlık'tan
Ungoliant,Ungoliant kiminle işbirliği yapar?,Melkor (Morgoth)
Ungoliant,Ungoliant neyi yok eder?,Valinor'un Işıklı Ağaçlarını
Ungoliant,Ungoliant'ın özelliği nedir?,Sonsuz açlık ve karanlık
Ungoliant,Ungoliant nasıl ölür?,Kendini yer

Watcher in the Water,Watcher neyi korur?,Moria'nın Batı Kapısını
Watcher,Watcher nerede yaşar?,Moria Gölü'nde
Watcher,Watcher neye benzer?,Dev ahtapota
Watcher,Watcher kime saldırır?,Frodo'ya
Watcher,Watcher'ın silahı nedir?,Tentaküller

Fellbeast,Fellbeast kimler tarafından kullanılır?,Nazgûl'ler
Fellbeast,Fellbeast neye benzer?,Kanatlı ejdere
Fellbeast,Fellbeast nerede yaşar?,Mordor
Fellbeast,Fellbeast'in özellikleri nelerdir?,Uçabilen korkunç yaratık
Fellbeast,Fellbeast'in görevi nedir?,Nazgûl'lerin bineği

Tom Bombadil,Tom Bombadil kimdir?,Orta Dünya'nın en eski ve gizemli varlığı
Tom Bombadil,Tom Bombadil'in eşi kimdir?,Goldberry
Tom Bombadil,Tom Bombadil nerede yaşar?,Eski Orman'da
Tom Bombadil,Tom Bombadil'in Yüzük üzerinde nasıl bir etkisi vardır?,Hiçbir etkisi yok
Tom Bombadil,Tom Bombadil'in ünlü şarkısı nedir?,Hey dol! Merry dol!

Goldberry,Goldberry kimdir?,Nehir kadını
Goldberry,Goldberry kimin eşidir?,Tom Bombadil'in
Goldberry,Goldberry nerede yaşar?,Eski Orman'da
Goldberry,Goldberry'nin özelliği nedir?,Su gibi akıcı hareketli
Goldberry,Goldberry neyin temsilcisidir?,Doğanın ve suyun

Halbarad,Halbarad kimdir?,Kuzey Kolcularının lideri
Halbarad,Halbarad kimin akrabasıdır?,Aragorn'un
Halbarad,Halbarad hangi savaşta ölür?,Pelennor Savaşı'nda
Halbarad,Halbarad ne taşır?,Aragorn'un kraliyet sancağını
Halbarad,Halbarad nerede yaşar?,Eriador

Gamling,Gamling kimin muhafız kaptanıdır?,Théoden'in
Gamling,Gamling hangi krallıktandır?,Rohan
Gamling,Gamling'in fiziksel özelliği nedir?,Yaşlı ama güçlü
Gamling,Gamling hangi savaşta yer alır?,Helm Dibi Savaşı
Gamling,Gamling'in görevi nedir?,Théoden'in muhafızı

Finrod Felagund,Finrod neyin kurucusudur?,Nargothrond'un
Finrod Felagund,Finrod nasıl ölür?,Beren'i korurken kurt ile savaşta
Finrod Felagund,Finrod'un lakabı ne anlama gelir?,Mağara Oyucu
Finrod Felagund,Finrod hangi krallığın kralıdır?,Nargothrond
Finrod Felagund,Finrod kimin dostudur?,Beren'in

Beleg Cúthalion,Beleg'in lakabı ne anlama gelir?,Güçlü Yay
Beleg,Beleg'in yayının adı nedir?,Belthronding
Beleg,Beleg kimin en yakın dostudur?,Túrin'in
Beleg,Beleg nerede yaşar?,Doriath
Beleg,Beleg nasıl ölür?,Túrin tarafından yanlışlıkla öldürülür

Maedhros,Maedhros kimin en büyük oğludur?,Fëanor'un
Maedhros,Maedhros nasıl işkence görür?,Thangorodrim'de tek elinden asılır
Maedhros,Maedhros kim tarafından kurtarılır?,Fingon tarafından
Maedhros,Maedhros nasıl ölür?,Silmaril ile kendini ateşe atar
Maedhros,Maedhros nerede yaşar?,Himring

Fingon,Fingon kimin oğludur?,Fingolfin'in
Fingon,Fingon'un en büyük başarısı nedir?,Maedhros'u kurtarması
Fingon,Fingon nasıl ölür?,Gothmog tarafından öldürülür
Fingon,Fingon kimin en yakın dostudur?,Maedhros'un
Fingon,Fingon hangi unvanı taşır?,Noldor Yüce Kralı

Turgon,Turgon neyi kurar?,Gondolin şehrini
Turgon,Turgon kimin oğludur?,Fingolfin'in
Turgon,Turgon'un kızı kimdir?,Idril
Turgon,Turgon nasıl ölür?,Gondolin'in düşüşünde
Turgon,Turgon'un şehri nerededir?,Gizli bir vadide

Idril,Idril kimin kızıdır?,Turgon'un
Idril,Idril kiminle evlenir?,Tuor
Idril,Idril'in oğlu kimdir?,Eärendil
Idril,Idril nerede yaşar?,Gondolin
Idril,Idril nasıl kurtulur?,Gizli tünel inşa ederek

Tuor,Tuor kimin habercisidir?,Ulmo'nun
Tuor,Tuor kiminle evlenir?,Idril
Tuor,Tuor'un oğlu kimdir?,Eärendil
Tuor,Tuor hangi ırktan gelir?,İnsan
Tuor,Tuor'un son kaderi nedir?,Valinor'a gitmesine izin verilir

Eärendil,Eärendil'in anne ve babası kimdir?,Tuor ve Idril
Eärendil,Eärendil'in gemisinin adı nedir?,Vingilot
Eärendil,Eärendil ne taşır?,Silmaril
Eärendil,Eärendil'in eşi kimdir?,Elwing
Eärendil,Eärendil şimdi nerededir?,Gökyüzünde parlayan yıldız olarak

Elwing,Elwing ne taşır?,Silmaril
Elwing,Elwing neye dönüşebilir?,Beyaz kuşa
Elwing,Elwing'in eşi kimdir?,Eärendil
Elwing,Elwing'in çocukları kimlerdir?,Elrond ve Elros
Elwing,Elwing nerede yaşar?,Arvernien

Tar-Míriel,Tar-Míriel kimdir?,Númenor'un son meşru kraliçesi
Tar-Míriel,Tar-Míriel'e ne olur?,Ar-Pharazôn tarafından zorla alınır
Tar-Míriel,Tar-Míriel nasıl ölür?,Númenor'un batışında boğulur
Tar-Míriel,Tar-Míriel neyi savunur?,Batı'ya dönmeyi
Tar-Míriel,Tar-Míriel nerede yaşar?,Númenor

Ar-Pharazôn,Ar-Pharazôn kimdir?,Númenor'un son kralı
Ar-Pharazôn,Ar-Pharazôn kimi esir alır?,Sauron'u
Ar-Pharazôn,Ar-Pharazôn nasıl aldatılır?,Sauron tarafından
Ar-Pharazôn,Ar-Pharazôn ne yapmaya çalışır?,Valinor'u işgal etmeye
Ar-Pharazôn,Ar-Pharazôn'un sonu ne olur?,Tanrılar tarafından cezalandırılır

Helm Hammerhand,Helm'in lakabı neden Hammerhand'dir?,Çıplak elleriyle kurt öldürdüğü için
Helm,Helm hangi krallığın kralıdır?,Rohan
Helm,Helm nerede ölür?,Helm Derin Koruganı'nda
Helm,Helm'in fiziksel özelliği nedir?,Dev gibi güçlü
Helm,Helm nasıl ölür?,Uzun Kış'ta donar 